Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
77,"(6000, 'spectrogram')","[(64, 3, 'relu'), (4, 3, 'sigmoid'), (2, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,8966248
78,"(6000, 'spectrogram')","[(32, 5, 'relu')]",1.0,1.0,1.0,148990388
79,"(6000, 'spectrogram')","[(64, 3, 'relu'), (4, 3, 'sigmoid')]",1.0,1.0,1.0,18638240
80,"(6000, 'spectrogram')","[(32, 3, 'relu')]",0.8181818181818182,0.0,0.0,151899060
81,"(6000, 'spectrogram')","[(64, 3, 'relu'), (4, 3, 'relu'), (2, 5, 'sigmoid')]",1.0,1.0,1.0,8966120
82,"(6000, 'spectrogram')","[(64, 3, 'relu'), (2, 3, 'sigmoid'), (2, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,8961264
83,"(6000, 'spectrogram')","[(32, 3, 'sigmoid')]",0.990909090909091,1.0,0.95,151899204
84,"(6000, 'spectrogram')","[(32, 3, 'sigmoid'), (4, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,18632468
85,"(6000, 'spectrogram')","[(64, 5, 'relu')]",1.0,1.0,1.0,297978036
86,"(6000, 'spectrogram')","[(64, 3, 'relu'), (4, 3, 'sigmoid'), (2, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,8966248
87,"(6000, 'spectrogram')","[(64, 5, 'relu')]",1.0,1.0,1.0,297978036
88,"(6000, 'spectrogram')","[(64, 3, 'relu'), (4, 3, 'relu')]",0.8181818181818182,0.0,0.0,18638084
89,"(6000, 'spectrogram')","[(64, 3, 'relu'), (4, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,18638240
90,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.8181818181818182,0.0,0.0,297978036
91,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978036
92,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795380
93,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,297978180
94,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.8181818181818182,0.0,0.0,297978036
95,"(6000, 'spectrogram')","[(64, 3, 'relu'), (32, 3, 'relu')]",1.0,1.0,1.0,149063988
96,"(6000, 'spectrogram')","[(64, 5, 'relu')]",1.0,1.0,1.0,297978036
97,"(6000, 'spectrogram')","[(64, 3, 'sigmoid'), (4, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,18638356
98,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978036
99,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,297978180
100,"(6000, 'spectrogram')","[(32, 3, 'relu')]",1.0,1.0,1.0,151899084
101,"(6000, 'spectrogram')","[(64, 3, 'relu'), (4, 3, 'sigmoid'), (4, 5, 'relu')]",0.8181818181818182,0.0,0.0,17916608
